State,Region
AK,Alaska
AL,South
AR,South
AZ,West
CA,West
CO,West
CT,New England
DE,Mid-Atlantic
FL,South
GA,South
HI,Hawaii
IA,Midwest
ID,West
IL,Midwest
IN,Midwest
KS,Midwest
KY,South
LA,South
MA,New England
MD,Mid-Atlantic
ME,New England
MI,Midwest
MN,Midwest
MO,Midwest
MS,South
MT,West
NC,South
ND,West
NE,Midwest
NH,New England
NJ,Mid-Atlantic
NM,West
NV,West
NY,Mid-Atlantic
OH,Midwest
OK,Midwest
OR,West
PA,Mid-Atlantic
RI,New England
SC,South
SD,West
TN,South
TX,South
UT,West
VA,Mid-Atlantic
VT,New England
WA,West
WI,Midwest
WV,Mid-Atlantic
WY,West
