,MORT_30_AMI,MORT_30_CABG,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK,READM_30_AMI,READM_30_CABG,READM_30_COPD,READM_30_HF,READM_30_HIP_KNEE,READM_30_HOSP_WIDE,READM_30_PN,READM_30_STK,Hospital Name,State,Region,Location,Latitude,Longitude,Predicted State,Predicted Region
1819,13.1,17.9,8.5,11.5,15.8,14.8,16.4,14.7,19.5,21.3,5.2,15.3,18.3,12.9,GREENE MEMORIAL HOSPITAL,OH,Midwest,"1141 NORTH MONROE DRIVE
XENIA, OH 45385
(39.700458, -83.928815)",39.700458,-83.928815,TX,South
4376,15.85,12.75,8.7,12.75,16.25,16.3,16.6,10.25,20.05,20.75,4.15,14.9,16.5,11.85,ST MARYS REGIONAL MEDICAL CENTER,ME,New England,"CAMPUS AVENUE - PO BOX 7291
LEWISTON, ME 04240
",,,AR,South
55,15.5,2.8,8.9,11.9,18.9,15.1,17.1,14.2,21.2,20.4,4.8,15.0,17.2,12.0,SELF REGIONAL HEALTHCARE,SC,South,"1325 SPRING STREET
GREENWOOD, SC 29646
(34.175238, -82.15774)",34.175238,-82.15774,TX,South
660,16.4,18.8,7.5,11.0,15.6,14.4,17.0,4.7,20.9,21.6,4.8,15.2,16.0,12.7,JPS HEALTH NETWORK,TX,South,"1500 S MAIN ST
FORT WORTH, TX 76104
(32.727335, -97.326405)",32.727335,-97.326405,OH,South
849,15.4333333333,11.3166666667,9.71666666667,13.4666666667,16.6833333333,16.5,17.1166666667,13.9166666667,18.1166666667,20.8333333333,6.01666666667,15.6666666667,16.8666666667,13.1,MEMORIAL MEDICAL CENTER,WI,Midwest,"701 N FIRST ST
SPRINGFIELD, IL 62781
(39.808778, -89.654586)",39.808778,-89.654586,PA,Mid-Atlantic
460,13.125,4.85,7.85,11.9,15.0,14.55,16.15,15.05,20.1,20.325,4.15,15.075,15.975,11.825,ST LUKES HOSPITAL,NC,South,"101 HOSPITAL DRIVE
COLUMBUS, NC 28722
(35.241841, -82.213649)",35.241841,-82.213649,MN,Midwest
1659,14.1,17.9,7.5,13.1,17.8,16.1,16.6,12.9,21.5,21.9,4.6,15.7,17.7,12.3,FINLEY HOSPITAL,IA,Midwest,"350 NORTH GRANDVIEW AVENUE
DUBUQUE, IA 52001
(42.495413, -90.687573)",42.495413,-90.687573,CA,South
4230,16.2,23.4,8.2,11.5,15.3,11.8,14.6,2.6,20.0,23.4,15.8,16.2,16.7,17.9,JEFF DAVIS HOSPITAL,GA,South,"163 SOUTH TALLAHASSEE STREET, P O BOX 1690
HAZLEHURST, GA 31539
(31.856972, -82.608434)",31.856972,-82.608434,FL,South
489,13.2,19.1,4.8,13.4,15.1,15.4,15.2,18.4,22.1,20.2,20.7,14.4,5.7,4.6,BAYLOR HEART AND VASCULAR HOSPITAL,TX,South,"621 NORTH HALL STREET
DALLAS, TX 75226
(32.788288, -96.780663)",32.788288,-96.780663,KS,Midwest
2137,13.4,8.76,7.66,11.98,15.88,17.28,16.4,13.78,21.16,22.1,4.8,16.1,17.16,12.84,ST MARY'S MEDICAL CENTER,WV,Mid-Atlantic,"2900 1ST AVENUE
HUNTINGTON, WV 25702
(38.431824, -82.401322)",38.431824,-82.401322,MO,Midwest
5174,11.3,15.3,8.0,12.0,16.7,14.2,17.3,14.8,19.6,22.0,3.7,15.4,17.6,11.9,LOURDES MEDICAL CENTER,WA,West,"520 N FOURTH AVENUE
PASCO, WA 99301
(46.235026, -119.094436)",46.235026,-119.094436,TX,South
838,15.4333333333,11.3166666667,9.71666666667,13.4666666667,16.6833333333,16.5,17.1166666667,13.9166666667,18.1166666667,20.8333333333,6.01666666667,15.6666666667,16.8666666667,13.1,MEMORIAL MEDICAL CENTER,IL,Midwest,"1700 COFFEE RD
MODESTO, CA 95355
(37.668701, -120.975674)",37.668701,-120.975674,PA,Mid-Atlantic
3256,16.3,16.3,16.3,16.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,15.4,17.1,17.1,SATANTA DISTRICT HOSPITAL,KS,Midwest,"CHEYENNE &amp; APACHE
SATANTA, KS 67870
",,,NE,Midwest
4775,12.9,3.3,12.5,14.4,17.4,14.9,15.5,13.1,20.4,22.8,4.8,14.6,17.3,11.2,PARKWEST MEDICAL CENTER,TN,South,"9352 PARK WEST BLVD
KNOXVILLE, TN 37923
(35.917806, -84.10115)",35.917806,-84.10115,LA,West
3543,8.0,13.7,10.0,14.8,18.4,15.2,16.7,20.5,19.8,22.8,4.3,15.3,14.7,4.8,MOUNTAIN WEST MEDICAL CENTER,UT,West,"2055 NORTH MAIN STREET
TOOELE, UT 84074
(40.566512, -112.295881)",40.566512,-112.295881,NY,West
971,14.1833333333,3.05,8.28333333333,13.2833333333,16.5833333333,15.0833333333,16.4833333333,15.0833333333,19.2166666667,20.7333333333,4.78333333333,14.8166666667,16.2333333333,12.2333333333,ST JOSEPH MEDICAL CENTER,IL,Midwest,"2901 SQUALICUM PARKWAY
BELLINGHAM, WA 98225
(48.772229, -122.474766)",48.772229,-122.474766,IL,Midwest
3117,19.6,5.0,7.8,17.2,14.5,7.4,7.4,5.0,19.5,15.3,24.1,15.5,15.9,16.5,SHERIDAN COMMUNITY HOSPITAL,MI,Midwest,"301 N MAIN ST
SHERIDAN, MI 48884
(43.215434, -85.073526)",43.215434,-85.073526,TX,South
